,Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
222,0,Oliver Miller,Phoenix Suns,,"Jan 2, 1994",C,81,280,23,1992,1,1993-1994,1994,1.0
223,0,Scottie Pippen,Chicago Bulls,,"Dec 26, 1993",SF,80,228,28,1987,6,1993-1994,1994,1.0
224,0,Karl Malone,Utah Jazz,,"Dec 19, 1993",PF,81,265,30,1985,8,1993-1994,1994,1.0
225,0,Shaquille O'Neal,Orlando Magic,,"Dec 12, 1993",C,85,325,21,1992,1,1993-1994,1994,1.0
226,0,David Robinson,San Antonio Spurs,,"Dec 5, 1993",C,85,250,28,1987,4,1993-1994,1994,1.0
227,0,Glen Rice,Miami Heat,,"Nov 28, 1993",SF,80,228,26,1989,4,1993-1994,1994,1.0
228,0,Charles Barkley,Phoenix Suns,,"Nov 21, 1993",PF,78,252,31,1984,9,1993-1994,1994,1.0
229,0,Hakeem Olajuwon,Houston Rockets,,"Nov 14, 1993",C,84,255,31,1984,9,1993-1994,1994,1.0
230,0,Karl Malone,Utah Jazz,,"Apr 23, 1995",PF,81,265,31,1985,9,1994-1995,1995,1.0
231,0,Dikembe Mutombo,Denver Nuggets,,"Apr 16, 1995",C,86,260,28,1991,3,1994-1995,1995,1.0
232,0,Clyde Drexler,Houston Rockets,,"Apr 9, 1995",SG,79,210,32,1983,11,1994-1995,1995,1.0
233,0,David Robinson,San Antonio Spurs,,"Apr 2, 1995",C,85,250,29,1987,5,1994-1995,1995,1.0
234,0,Vlade Divac,Los Angeles Lakers,,"Mar 26, 1995",C,85,260,27,1989,5,1994-1995,1995,1.0
235,0,Jason Kidd,Dallas Mavericks,,"Mar 19, 1995",PG,76,210,21,1994,0,1994-1995,1995,1.0
236,0,Rik Smits,Indiana Pacers,,"Mar 12, 1995",C,88,250,28,1988,6,1994-1995,1995,1.0
237,0,Shaquille O'Neal,Orlando Magic,,"Mar 5, 1995",C,85,325,22,1992,2,1994-1995,1995,1.0
238,0,Rod Strickland,Portland Trail Blazers,,"Feb 26, 1995",PG,75,175,28,1988,6,1994-1995,1995,1.0
239,0,Charles Barkley,Phoenix Suns,,"Feb 19, 1995",PF,78,252,32,1984,10,1994-1995,1995,1.0
240,0,Hakeem Olajuwon,Houston Rockets,,"Feb 5, 1995",C,84,255,32,1984,10,1994-1995,1995,1.0
241,0,John Stockton,Utah Jazz,,"Jan 29, 1995",PG,73,170,32,1984,10,1994-1995,1995,1.0
242,0,Patrick Ewing,New York Knicks,,"Jan 22, 1995",C,84,240,32,1985,9,1994-1995,1995,1.0
243,0,Larry Johnson,Charlotte Hornets,,"Jan 15, 1995",F,78,250,25,1991,3,1994-1995,1995,1.0
244,0,Gary Payton,Seattle SuperSonics,,"Jan 8, 1995",G,76,180,26,1990,4,1994-1995,1995,1.0
245,0,Hakeem Olajuwon,Houston Rockets,,"Jan 1, 1995",C,84,255,32,1984,10,1994-1995,1995,1.0
246,0,Cedric Ceballos,Los Angeles Lakers,,"Dec 25, 1994",SF,78,190,25,1990,4,1994-1995,1995,1.0
247,0,Karl Malone,Utah Jazz,,"Dec 18, 1994",PF,81,265,31,1985,9,1994-1995,1995,1.0
248,0,Jamal Mashburn,Dallas Mavericks,,"Dec 11, 1994",SF,80,247,22,1993,1,1994-1995,1995,1.0
249,0,Shaquille O'Neal,Orlando Magic,,"Dec 4, 1994",C,85,325,22,1992,2,1994-1995,1995,1.0
250,0,Penny Hardaway,Orlando Magic,,"Nov 27, 1994",PG,79,195,23,1993,1,1994-1995,1995,1.0
251,0,Elliot Perry,Phoenix Suns,,"Nov 20, 1994",PG,72,150,25,1991,3,1994-1995,1995,1.0
252,0,Tim Hardaway,Golden State Warriors,,"Nov 13, 1994",PG,72,175,28,1989,5,1994-1995,1995,1.0
253,0,Dennis Scott,Orlando Magic,,"Apr 21, 1996",SF,80,229,27,1990,5,1995-1996,1996,1.0
254,0,Juwan Howard,Washington Bullets,,"Apr 14, 1996",PF,81,240,23,1994,1,1995-1996,1996,1.0
255,0,Kevin Johnson,Phoenix Suns,,"Apr 7, 1996",PG,73,180,29,1987,8,1995-1996,1996,1.0
256,0,Arvydas Sabonis,Portland Trail Blazers,,"Mar 31, 1996",C,87,279,31,1985,0,1995-1996,1996,1.0
257,0,Chris Gatling,Miami Heat,,"Mar 24, 1996",PF,82,220,28,1991,4,1995-1996,1996,1.0
258,0,Grant Hill,Detroit Pistons,,"Mar 17, 1996",SF,80,225,23,1994,1,1995-1996,1996,1.0
259,0,Michael Jordan,Chicago Bulls,,"Mar 10, 1996",SG,78,215,33,1984,10,1995-1996,1996,1.0
260,0,Shaquille O'Neal,Orlando Magic,,"Mar 3, 1996",C,85,325,23,1992,3,1995-1996,1996,1.0
261,0,Hakeem Olajuwon,Houston Rockets,,"Mar 3, 1996",C,84,255,33,1984,11,1995-1996,1996,1.0
262,0,Shawn Kemp,Seattle SuperSonics,,"Feb 25, 1996",C,82,280,26,1989,6,1995-1996,1996,1.0
263,0,Armen Gilliam,New Jersey Nets,,"Feb 18, 1996",PF,81,230,31,1987,8,1995-1996,1996,1.0
264,0,Jason Kidd,Dallas Mavericks,,"Feb 4, 1996",PG,76,210,22,1994,1,1995-1996,1996,1.0
265,0,Reggie Miller,Indiana Pacers,,"Jan 28, 1996",SG,79,185,30,1987,8,1995-1996,1996,1.0
266,0,Michael Jordan,Chicago Bulls,,"Jan 21, 1996",SG,78,215,33,1984,10,1995-1996,1996,1.0
267,0,David Robinson,San Antonio Spurs,,"Jan 14, 1996",C,85,250,30,1987,6,1995-1996,1996,1.0
268,0,Cliff Robinson,Portland Trail Blazers,,"Jan 7, 1996",PF,82,225,29,1989,6,1995-1996,1996,1.0
269,0,Karl Malone,Utah Jazz,,"Dec 31, 1995",PF,81,265,32,1985,10,1995-1996,1996,1.0
270,0,Michael Jordan,Chicago Bulls,,"Dec 24, 1995",SG,78,215,33,1984,10,1995-1996,1996,1.0
271,0,Scottie Pippen,Chicago Bulls,,"Dec 17, 1995",SF,80,228,30,1987,8,1995-1996,1996,1.0
272,0,Dikembe Mutombo,Denver Nuggets,,"Dec 10, 1995",C,86,260,29,1991,4,1995-1996,1996,1.0
273,0,Terrell Brandon,Cleveland Cavaliers,,"Dec 3, 1995",PG,71,180,25,1991,4,1995-1996,1996,1.0
274,0,Shawn Kemp,Seattle SuperSonics,,"Nov 26, 1995",C,82,280,26,1989,6,1995-1996,1996,1.0
275,0,Cedric Ceballos,Los Angeles Lakers,,"Nov 19, 1995",SF,78,190,26,1990,5,1995-1996,1996,1.0
276,0,Penny Hardaway,Orlando Magic,,"Nov 12, 1995",PG,79,195,24,1993,2,1995-1996,1996,1.0
277,0,Chris Webber,Washington Bullets,,"Apr 20, 1997",F-C,81,245,24,1993,3,1996-1997,1997,1.0
278,0,Allen Iverson,Philadelphia Sixers,,"Apr 13, 1997",G,72,165,21,1996,0,1996-1997,1997,1.0
279,0,Grant Hill,Detroit Pistons,,"Apr 6, 1997",SF,80,225,24,1994,2,1996-1997,1997,1.0
280,0,Kevin Johnson,Phoenix Suns,,"Mar 30, 1997",PG,73,180,30,1987,9,1996-1997,1997,1.0
281,0,Karl Malone,Utah Jazz,,"Mar 23, 1997",PF,81,265,33,1985,11,1996-1997,1997,1.0
282,0,Karl Malone,Utah Jazz,,"Mar 16, 1997",PF,81,265,33,1985,11,1996-1997,1997,1.0
283,0,Patrick Ewing,New York Knicks,,"Mar 9, 1997",C,84,240,34,1985,11,1996-1997,1997,1.0
284,0,Loy Vaught,Los Angeles Clippers,,"Mar 2, 1997",PF,81,230,30,1990,6,1996-1997,1997,1.0
285,0,Scottie Pippen,Chicago Bulls,,"Feb 23, 1997",SF,80,228,31,1987,9,1996-1997,1997,1.0
286,0,Alonzo Mourning,Miami Heat,,"Feb 16, 1997",C,82,240,27,1992,4,1996-1997,1997,1.0
287,0,Glen Rice,Charlotte Hornets,,"Feb 2, 1997",SF,80,228,29,1989,7,1996-1997,1997,1.0
288,0,Mitch Richmond,Sacramento Kings,,"Jan 26, 1997",SG,77,215,31,1988,8,1996-1997,1997,1.0
289,0,Grant Hill,Detroit Pistons,,"Jan 19, 1997",SF,80,225,24,1994,2,1996-1997,1997,1.0
290,0,Glenn Robinson,Milwaukee Bucks,,"Jan 12, 1997",SF,79,225,24,1994,2,1996-1997,1997,1.0
291,0,Glen Rice,Charlotte Hornets,,"Jan 5, 1997",SF,80,228,29,1989,7,1996-1997,1997,1.0
292,0,Tim Hardaway,Miami Heat,,"Dec 29, 1996",PG,72,175,30,1989,7,1996-1997,1997,1.0
293,0,Terrell Brandon,Cleveland Cavaliers,,"Dec 22, 1996",PG,71,180,26,1991,5,1996-1997,1997,1.0
294,0,Shaquille O'Neal,Los Angeles Lakers,,"Dec 15, 1996",C,85,325,24,1992,4,1996-1997,1997,1.0
295,0,Terry Mills,Detroit Pistons,,"Dec 8, 1996",PF,82,230,29,1990,6,1996-1997,1997,1.0
296,0,Dikembe Mutombo,Atlanta Hawks,,"Dec 1, 1996",C,86,260,30,1991,5,1996-1997,1997,1.0
297,0,Charles Barkley,Houston Rockets,,"Nov 24, 1996",PF,78,252,34,1984,12,1996-1997,1997,1.0
298,0,Karl Malone,Utah Jazz,,"Nov 24, 1996",PF,81,265,33,1985,11,1996-1997,1997,1.0
299,0,Dale Ellis,Denver Nuggets,,"Nov 17, 1996",GF,79,205,36,1983,13,1996-1997,1997,1.0
300,0,Hakeem Olajuwon,Houston Rockets,,"Nov 10, 1996",C,84,255,34,1984,12,1996-1997,1997,1.0
301,0,Jason Kidd,Phoenix Suns,,"Apr 19, 1998",PG,76,210,24,1994,3,1997-1998,1998,1.0
302,0,Sam Cassell,New Jersey Nets,,"Apr 12, 1998",G,75,185,28,1993,4,1997-1998,1998,1.0
303,0,Michael Jordan,Chicago Bulls,,"Apr 5, 1998",SG,78,215,35,1984,12,1997-1998,1998,1.0
304,0,Alonzo Mourning,Miami Heat,,"Mar 29, 1998",C,82,240,28,1992,5,1997-1998,1998,1.0
305,0,Shaquille O'Neal,Los Angeles Lakers,,"Mar 22, 1998",C,85,325,25,1992,5,1997-1998,1998,1.0
306,0,Jason Kidd,Phoenix Suns,,"Mar 15, 1998",PG,76,210,24,1994,3,1997-1998,1998,1.0
307,0,Karl Malone,Utah Jazz,,"Mar 8, 1998",PF,81,265,34,1985,12,1997-1998,1998,1.0
308,0,Tim Duncan,San Antonio Spurs,,"Mar 1, 1998",FC,83,250,21,1997,0,1997-1998,1998,1.0
309,0,Nick Anderson,Orlando Magic,,"Feb 22, 1998",GF,78,228,30,1989,8,1997-1998,1998,1.0
310,0,Karl Malone,Utah Jazz,,"Feb 15, 1998",PF,81,265,34,1985,12,1997-1998,1998,1.0
311,0,David Robinson,San Antonio Spurs,,"Feb 1, 1998",C,85,250,32,1987,8,1997-1998,1998,1.0
312,0,Jayson Williams,New Jersey Nets,,"Jan 25, 1998",FC,82,245,30,1990,7,1997-1998,1998,1.0
313,0,Allen Iverson,Philadelphia Sixers,,"Jan 18, 1998",G,72,165,22,1996,1,1997-1998,1998,1.0
314,0,Steve Smith,Atlanta Hawks,,"Jan 11, 1998",SG,79,200,28,1991,6,1997-1998,1998,1.0
315,0,Rik Smits,Indiana Pacers,,"Jan 4, 1998",C,88,250,31,1988,9,1997-1998,1998,1.0
316,0,David Robinson,San Antonio Spurs,,"Dec 28, 1997",C,85,250,32,1987,8,1997-1998,1998,1.0
317,0,Michael Jordan,Chicago Bulls,,"Dec 21, 1997",SG,78,215,35,1984,12,1997-1998,1998,1.0
318,0,Glen Rice,Charlotte Hornets,,"Dec 14, 1997",SF,80,228,30,1989,8,1997-1998,1998,1.0
319,0,Wesley Person,Cleveland Cavaliers,,"Dec 7, 1997",SG,78,195,26,1994,3,1997-1998,1998,1.0
320,0,Karl Malone,Utah Jazz,,"Nov 30, 1997",PF,81,265,34,1985,12,1997-1998,1998,1.0
321,0,Michael Jordan,Chicago Bulls,,"Nov 23, 1997",SG,78,215,35,1984,12,1997-1998,1998,1.0
322,0,Shaquille O'Neal,Los Angeles Lakers,,"Nov 16, 1997",C,85,325,25,1992,5,1997-1998,1998,1.0
323,0,Dikembe Mutombo,Atlanta Hawks,,"Nov 9, 1997",C,86,260,31,1991,6,1997-1998,1998,1.0
324,0,Grant Hill,Detroit Pistons,,"May 2, 1999",SF,80,225,26,1994,4,1998-1999,1999,1.0
325,0,Chris Webber,Sacramento Kings,,"Apr 25, 1999",F-C,81,245,25,1993,5,1998-1999,1999,1.0
326,0,Jason Kidd,Phoenix Suns,,"Apr 18, 1999",PG,76,210,25,1994,4,1998-1999,1999,1.0
327,0,Karl Malone,Utah Jazz,,"Apr 11, 1999",PF,81,265,35,1985,13,1998-1999,1999,1.0
328,0,Kevin Garnett,Minnesota Timberwolves,,"Apr 4, 1999",PF,83,240,22,1995,3,1998-1999,1999,1.0
329,0,Darrell Armstrong,Orlando Magic,,"Mar 28, 1999",PG,72,170,30,1991,4,1998-1999,1999,1.0
330,0,Vince Carter,Toronto Raptors,,"Mar 21, 1999",SF,78,220,22,1998,0,1998-1999,1999,1.0
331,0,Alonzo Mourning,Miami Heat,,"Mar 14, 1999",C,82,240,29,1992,6,1998-1999,1999,1.0
332,0,Tim Duncan,San Antonio Spurs,,"Mar 7, 1999",FC,83,250,22,1997,1,1998-1999,1999,1.0
333,0,Antonio McDyess,Denver Nuggets,,"Feb 28, 1999",F,81,245,24,1995,3,1998-1999,1999,1.0
334,0,Stephon Marbury,Minnesota Timberwolves,,"Feb 21, 1999",G,74,180,22,1996,2,1998-1999,1999,1.0
335,0,Gary Payton,Seattle SuperSonics,,"Feb 14, 1999",G,76,180,30,1990,8,1998-1999,1999,1.0
336,0,Dikembe Mutombo,Atlanta Hawks,,"Feb 7, 1999",C,86,260,32,1991,7,1998-1999,1999,1.0
337,0,Kobe Bryant,Los Angeles Lakers,,"Apr 17, 2000",SG,78,212,21,1996,3,1999-2000,2000,1.0
338,0,Alonzo Mourning,Miami Heat,,"Apr 10, 2000",C,82,240,30,1992,7,1999-2000,2000,1.0
339,0,Tim Duncan,San Antonio Spurs,,"Apr 3, 2000",FC,83,250,23,1997,2,1999-2000,2000,1.0
340,0,Kevin Garnett,Minnesota Timberwolves,,"Mar 27, 2000",PF,83,240,23,1995,4,1999-2000,2000,1.0
341,0,Jalen Rose,Indiana Pacers,,"Mar 20, 2000",G,80,210,27,1994,5,1999-2000,2000,1.0
342,0,Shaquille O'Neal,Los Angeles Lakers,,"Mar 13, 2000",C,85,325,27,1992,7,1999-2000,2000,1.0
343,0,Karl Malone,Utah Jazz,,"Mar 6, 2000",PF,81,265,36,1985,14,1999-2000,2000,1.0
344,0,Vince Carter,Toronto Raptors,,"Feb 28, 2000",SF,78,220,23,1998,1,1999-2000,2000,1.0
345,0,Shaquille O'Neal,Los Angeles Lakers,,"Feb 22, 2000",C,85,325,27,1992,7,1999-2000,2000,1.0
346,0,Michael Finley,Dallas Mavericks,,"Feb 7, 2000",G-F,79,225,26,1995,4,1999-2000,2000,1.0
347,0,Dikembe Mutombo,Atlanta Hawks,,"Jan 31, 2000",C,86,260,33,1991,8,1999-2000,2000,1.0
348,0,Steve Francis,Houston Rockets,,"Jan 24, 2000",G,75,195,23,1999,0,1999-2000,2000,1.0
349,0,Chris Webber,Sacramento Kings,,"Jan 17, 2000",F-C,81,245,27,1993,6,1999-2000,2000,1.0
350,0,Grant Hill,Detroit Pistons,,"Jan 10, 2000",SF,80,225,27,1994,5,1999-2000,2000,1.0
351,0,Chris Webber,Sacramento Kings,,"Jan 3, 2000",F-C,81,245,27,1993,6,1999-2000,2000,1.0
352,0,Kevin Garnett,Minnesota Timberwolves,,"Dec 27, 1999",PF,83,240,23,1995,4,1999-2000,2000,1.0
353,0,Jason Kidd,Phoenix Suns,,"Dec 20, 1999",PG,76,210,26,1994,5,1999-2000,2000,1.0
354,0,Alonzo Mourning,Miami Heat,,"Dec 13, 1999",C,82,240,30,1992,7,1999-2000,2000,1.0
355,0,Shaquille O'Neal,Los Angeles Lakers,,"Dec 5, 1999",C,85,325,27,1992,7,1999-2000,2000,1.0
356,0,Tim Duncan,San Antonio Spurs,,"Nov 28, 1999",FC,83,250,23,1997,2,1999-2000,2000,1.0
357,0,Vince Carter,Toronto Raptors,,"Nov 21, 1999",SF,78,220,23,1998,1,1999-2000,2000,1.0
358,0,Kevin Garnett,Minnesota Timberwolves,,"Nov 14, 1999",PF,83,240,23,1995,4,1999-2000,2000,1.0
359,0,Sam Cassell,Milwaukee Bucks,,"Nov 7, 1999",G,75,185,30,1993,6,1999-2000,2000,1.0
360,0,Ray Allen,Milwaukee Bucks,,"Apr 15, 2001",SG,77,205,25,1996,4,2000-2001,2001,1.0
361,0,Shaquille O'Neal,Los Angeles Lakers,,"Apr 8, 2001",C,85,325,28,1992,8,2000-2001,2001,1.0
362,0,Jason Kidd,Phoenix Suns,,"Apr 1, 2001",PG,76,210,27,1994,6,2000-2001,2001,1.0
363,0,Paul Pierce,Boston Celtics,,"Mar 25, 2001",SF,79,235,23,1998,2,2000-2001,2001,1.0
364,0,Cuttino Mobley,Houston Rockets,,"Mar 18, 2001",G,76,190,25,1998,2,2000-2001,2001,1.0
365,0,Derek Anderson,San Antonio Spurs,,"Mar 11, 2001",G,77,194,26,1997,3,2000-2001,2001,1.0
366,0,Vince Carter,Toronto Raptors,,"Mar 4, 2001",SF,78,220,24,1998,2,2000-2001,2001,1.0
367,0,Shawn Marion,Phoenix Suns,,"Feb 25, 2001",F,79,228,22,1999,1,2000-2001,2001,1.0
368,0,Allen Iverson,Philadelphia Sixers,,"Feb 18, 2001",G,72,165,25,1996,4,2000-2001,2001,1.0
369,0,Darrell Armstrong,Orlando Magic,,"Feb 4, 2001",PG,72,170,32,1991,6,2000-2001,2001,1.0
370,0,Tim Duncan,San Antonio Spurs,,"Jan 28, 2001",FC,83,250,24,1997,3,2000-2001,2001,1.0
371,0,Chris Webber,Sacramento Kings,,"Jan 22, 2001",F-C,81,245,28,1993,7,2000-2001,2001,1.0
372,0,Steve Francis,Houston Rockets,,"Jan 14, 2001",G,75,195,24,1999,1,2000-2001,2001,1.0
373,0,Allen Iverson,Philadelphia Sixers,,"Jan 7, 2001",G,72,165,25,1996,4,2000-2001,2001,1.0
374,0,Aaron McKie,Philadelphia Sixers,,"Dec 31, 2000",G,77,209,28,1994,6,2000-2001,2001,1.0
375,0,Kobe Bryant,Los Angeles Lakers,,"Dec 24, 2000",SG,78,212,22,1996,4,2000-2001,2001,1.0
376,0,Glenn Robinson,Milwaukee Bucks,,"Dec 17, 2000",SF,79,225,28,1994,6,2000-2001,2001,1.0
377,0,Chris Webber,Sacramento Kings,,"Dec 10, 2000",F-C,81,245,28,1993,7,2000-2001,2001,1.0
378,0,Antonio McDyess,Denver Nuggets,,"Dec 3, 2000",F,81,245,26,1995,5,2000-2001,2001,1.0
379,0,Baron Davis,Charlotte Hornets,,"Nov 26, 2000",G,75,215,21,1999,1,2000-2001,2001,1.0
380,0,Kevin Garnett,Minnesota Timberwolves,,"Nov 19, 2000",PF,83,240,24,1995,5,2000-2001,2001,1.0
381,0,Stephon Marbury,New Jersey Nets,,"Nov 12, 2000",G,74,180,24,1996,4,2000-2001,2001,1.0
382,0,Karl Malone,Utah Jazz,,"Nov 6, 2000",PF,81,265,37,1985,15,2000-2001,2001,1.0
383,0,John Stockton,Utah Jazz,,"Nov 6, 2000",PG,73,170,38,1984,16,2000-2001,2001,1.0
384,0,Paul Pierce,Boston Celtics,East,"Apr 7, 2002",SF,79,235,24,1998,3,2001-2002,2002,0.5
385,0,Tim Duncan,San Antonio Spurs,West,"Apr 7, 2002",FC,83,250,25,1997,4,2001-2002,2002,0.5
386,0,Ben Wallace,Detroit Pistons,East,"Mar 31, 2002",FC,81,240,27,1996,5,2001-2002,2002,0.5
387,0,Shawn Marion,Phoenix Suns,West,"Mar 31, 2002",F,79,228,23,1999,2,2001-2002,2002,0.5
388,0,Jason Kidd,New Jersey Nets,East,"Mar 24, 2002",PG,76,210,28,1994,7,2001-2002,2002,0.5
389,0,Tim Duncan,San Antonio Spurs,West,"Mar 24, 2002",FC,83,250,25,1997,4,2001-2002,2002,0.5
390,0,Tracy McGrady,Orlando Magic,East,"Mar 17, 2002",GF,80,210,22,1997,4,2001-2002,2002,0.5
391,0,Tim Duncan,San Antonio Spurs,West,"Mar 17, 2002",FC,83,250,25,1997,4,2001-2002,2002,0.5
392,0,Kurt Thomas,New York Knicks,East,"Mar 10, 2002",FC,81,240,29,1995,6,2001-2002,2002,0.5
393,0,Shaquille O'Neal,Los Angeles Lakers,West,"Mar 10, 2002",C,85,325,29,1992,9,2001-2002,2002,0.5
394,0,Allen Iverson,Philadelphia Sixers,East,"Mar 3, 2002",G,72,165,26,1996,5,2001-2002,2002,0.5
395,0,Rasheed Wallace,Portland Trail Blazers,West,"Mar 3, 2002",FC,83,230,27,1995,6,2001-2002,2002,0.5
396,0,Ben Wallace,Detroit Pistons,East,"Feb 24, 2002",FC,81,240,27,1996,5,2001-2002,2002,0.5
397,0,Shaquille O'Neal,Los Angeles Lakers,West,"Feb 24, 2002",C,85,325,29,1992,9,2001-2002,2002,0.5
398,0,Andre Miller,Cleveland Cavaliers,East,"Feb 17, 2002",PG,75,200,25,1999,2,2001-2002,2002,0.5
399,0,Karl Malone,Utah Jazz,West,"Feb 17, 2002",PF,81,265,38,1985,16,2001-2002,2002,0.5
400,0,Jason Kidd,New Jersey Nets,East,"Feb 3, 2002",PG,76,210,28,1994,7,2001-2002,2002,0.5
401,0,Shaquille O'Neal,Los Angeles Lakers,West,"Feb 3, 2002",C,85,325,29,1992,9,2001-2002,2002,0.5
402,0,Allen Iverson,Philadelphia Sixers,East,"Jan 27, 2002",G,72,165,26,1996,5,2001-2002,2002,0.5
403,0,Dirk Nowitzki,Dallas Mavericks,West,"Jan 27, 2002",PF,84,245,23,1998,3,2001-2002,2002,0.5
404,0,Allen Iverson,Philadelphia Sixers,East,"Jan 20, 2002",G,72,165,26,1996,5,2001-2002,2002,0.5
405,0,Kobe Bryant,Los Angeles Lakers,West,"Jan 20, 2002",SG,78,212,23,1996,5,2001-2002,2002,0.5
406,0,Ray Allen,Milwaukee Bucks,East,"Jan 13, 2002",SG,77,205,26,1996,5,2001-2002,2002,0.5
407,0,Kevin Garnett,Minnesota Timberwolves,West,"Jan 13, 2002",PF,83,240,25,1995,6,2001-2002,2002,0.5
408,0,Eddie Jones,Miami Heat,East,"Jan 6, 2002",G-F,78,200,30,1994,7,2001-2002,2002,0.5
409,0,Chris Webber,Sacramento Kings,West,"Jan 6, 2002",F-C,81,245,28,1993,8,2001-2002,2002,0.5
410,0,Jason Kidd,New Jersey Nets,East,"Dec 30, 2001",PG,76,210,28,1994,7,2001-2002,2002,0.5
411,0,Tim Duncan,San Antonio Spurs,West,"Dec 30, 2001",FC,83,250,25,1997,4,2001-2002,2002,0.5
412,0,Jermaine O'Neal,Indiana Pacers,East,"Dec 23, 2001",FC,83,235,23,1996,5,2001-2002,2002,0.5
413,0,Gary Payton,Seattle SuperSonics,West,"Dec 23, 2001",G,76,180,33,1990,11,2001-2002,2002,0.5
414,0,Richard Hamilton,Washington Wizards,East,"Dec 16, 2001",SG,79,193,24,1999,2,2001-2002,2002,0.5
415,0,Steve Nash,Dallas Mavericks,West,"Dec 16, 2001",G,75,178,28,1996,5,2001-2002,2002,0.5
416,0,Andre Miller,Cleveland Cavaliers,East,"Dec 9, 2001",PG,75,200,25,1999,2,2001-2002,2002,0.5
417,0,Elton Brand,Los Angeles Clippers,West,"Dec 9, 2001",PF,81,254,22,1999,2,2001-2002,2002,0.5
418,0,Paul Pierce,Boston Celtics,East,"Dec 2, 2001",SF,79,235,24,1998,3,2001-2002,2002,0.5
419,0,Stephon Marbury,Phoenix Suns,West,"Dec 2, 2001",G,74,180,25,1996,5,2001-2002,2002,0.5
420,0,Shareef Abdur-Rahim,Atlanta Hawks,East,"Nov 25, 2001",F,81,225,25,1996,5,2001-2002,2002,0.5
421,0,Tim Duncan,San Antonio Spurs,West,"Nov 25, 2001",FC,83,250,25,1997,4,2001-2002,2002,0.5
422,0,Allen Iverson,Philadelphia Sixers,East,"Nov 18, 2001",G,72,165,26,1996,5,2001-2002,2002,0.5
423,0,Kevin Garnett,Minnesota Timberwolves,West,"Nov 18, 2001",PF,83,240,25,1995,6,2001-2002,2002,0.5
424,0,Vince Carter,Toronto Raptors,East,"Nov 11, 2001",SF,78,220,25,1998,3,2001-2002,2002,0.5
425,0,Tim Duncan,San Antonio Spurs,West,"Nov 11, 2001",FC,83,250,25,1997,4,2001-2002,2002,0.5
426,0,Ray Allen,Milwaukee Bucks,East,"Nov 4, 2001",SG,77,205,26,1996,5,2001-2002,2002,0.5
427,0,Kobe Bryant,Los Angeles Lakers,West,"Nov 4, 2001",SG,78,212,23,1996,5,2001-2002,2002,0.5
428,0,Tracy McGrady,Orlando Magic,East,"Apr 13, 2003",GF,80,210,23,1997,5,2002-2003,2003,0.5
429,0,Shawn Marion,Phoenix Suns,West,"Apr 13, 2003",F,79,228,24,1999,3,2002-2003,2003,0.5
430,0,Jason Kidd,New Jersey Nets,East,"Apr 6, 2003",PG,76,210,29,1994,8,2002-2003,2003,0.5
431,0,Shaquille O'Neal,Los Angeles Lakers,West,"Apr 6, 2003",C,85,325,30,1992,10,2002-2003,2003,0.5
432,0,Richard Jefferson,New Jersey Nets,East,"Mar 30, 2003",SF,79,233,22,2001,1,2002-2003,2003,0.5
433,0,Tim Duncan,San Antonio Spurs,West,"Mar 30, 2003",FC,83,250,26,1997,5,2002-2003,2003,0.5
434,0,Ben Wallace,Detroit Pistons,East,"Mar 23, 2003",FC,81,240,28,1996,6,2002-2003,2003,0.5
435,0,Peja Stojakovic,Sacramento Kings,West,"Mar 23, 2003",F,82,229,25,1996,4,2002-2003,2003,0.5
436,0,Allen Iverson,Philadelphia Sixers,East,"Mar 16, 2003",G,72,165,27,1996,6,2002-2003,2003,0.5
437,0,Steve Francis,Houston Rockets,West,"Mar 16, 2003",G,75,195,26,1999,3,2002-2003,2003,0.5
438,0,Tracy McGrady,Orlando Magic,East,"Mar 9, 2003",GF,80,210,23,1997,5,2002-2003,2003,0.5
439,0,Shaquille O'Neal,Los Angeles Lakers,West,"Mar 9, 2003",C,85,325,30,1992,10,2002-2003,2003,0.5
440,0,Michael Jordan,Washington Wizards,East,"Mar 2, 2003",SG,78,215,40,1984,14,2002-2003,2003,0.5
441,0,Ray Allen,Seattle SuperSonics,West,"Mar 2, 2003",SG,77,205,27,1996,6,2002-2003,2003,0.5
442,0,Tracy McGrady,Orlando Magic,East,"Feb 23, 2003",GF,80,210,23,1997,5,2002-2003,2003,0.5
443,0,Kobe Bryant,Los Angeles Lakers,West,"Feb 23, 2003",SG,78,212,24,1996,6,2002-2003,2003,0.5
444,0,Allan Houston,New York Knicks,East,"Feb 16, 2003",G,78,205,31,1993,9,2002-2003,2003,0.5
445,0,Tim Duncan,San Antonio Spurs,West,"Feb 16, 2003",FC,83,250,26,1997,5,2002-2003,2003,0.5
446,0,Chauncey Billups,Detroit Pistons,East,"Feb 2, 2003",G,75,210,26,1997,5,2002-2003,2003,0.5
447,0,Kobe Bryant,Los Angeles Lakers,West,"Feb 2, 2003",SG,78,212,24,1996,6,2002-2003,2003,0.5
448,0,Paul Pierce,Boston Celtics,East,"Jan 26, 2003",SF,79,235,25,1998,4,2002-2003,2003,0.5
449,0,Tim Duncan,San Antonio Spurs,West,"Jan 26, 2003",FC,83,250,26,1997,5,2002-2003,2003,0.5
450,0,Antoine Walker,Boston Celtics,East,"Jan 19, 2003",F,81,265,26,1996,6,2002-2003,2003,0.5
