,Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
51,0,Karl Malone,Utah Jazz,,"Mar 15, 1987",PF,81,265,23,1985,1,1986-1987,1987,1.0
52,0,Magic Johnson,Los Angeles Lakers,,"Mar 8, 1987",PG,81,255,27,1979,7,1986-1987,1987,1.0
53,0,Michael Jordan,Chicago Bulls,,"Mar 1, 1987",SG,78,215,24,1984,2,1986-1987,1987,1.0
54,0,Moses Malone,Washington Bullets,,"Feb 22, 1987",C,82,215,31,1976,10,1986-1987,1987,1.0
55,0,Magic Johnson,Los Angeles Lakers,,"Feb 15, 1987",PG,81,255,27,1979,7,1986-1987,1987,1.0
56,0,Fat Lever,Denver Nuggets,,"Feb 1, 1987",PG,75,170,26,1982,4,1986-1987,1987,1.0
57,0,Alex English,Denver Nuggets,,"Jan 25, 1987",SF,79,190,33,1976,10,1986-1987,1987,1.0
58,0,Otis Thorpe,Sacramento Kings,,"Jan 18, 1987",PF,81,225,24,1984,2,1986-1987,1987,1.0
59,0,Isiah Thomas,Detroit Pistons,,"Jan 11, 1987",PG,73,180,25,1981,5,1986-1987,1987,1.0
60,0,Larry Bird,Boston Celtics,,"Jan 4, 1987",SF,81,220,30,1978,7,1986-1987,1987,1.0
61,0,Patrick Ewing,New York Knicks,,"Dec 28, 1986",C,84,240,24,1985,1,1986-1987,1987,1.0
62,0,Magic Johnson,Los Angeles Lakers,,"Dec 21, 1986",PG,81,255,27,1979,7,1986-1987,1987,1.0
63,0,Dominique Wilkins,Atlanta Hawks,,"Dec 14, 1986",SF,79,200,27,1982,4,1986-1987,1987,1.0
64,0,Tom Chambers,Seattle SuperSonics,,"Dec 7, 1986",PF,82,220,27,1981,5,1986-1987,1987,1.0
65,0,Hot Rod Williams,Cleveland Cavaliers,,"Nov 30, 1986",FC,83,215,24,1985,0,1986-1987,1987,1.0
66,0,Alvin Robertson,San Antonio Spurs,,"Nov 23, 1986",SG,75,185,24,1984,2,1986-1987,1987,1.0
67,0,Robert Parish,Boston Celtics,,"Nov 16, 1986",C,84,230,33,1976,9,1986-1987,1987,1.0
68,0,Michael Jordan,Chicago Bulls,,"Nov 9, 1986",SG,78,215,24,1984,2,1986-1987,1987,1.0
69,0,Karl Malone,Utah Jazz,,"Apr 24, 1988",PF,81,265,24,1985,2,1987-1988,1988,1.0
70,0,Fat Lever,Denver Nuggets,,"Apr 17, 1988",PG,75,170,27,1982,5,1987-1988,1988,1.0
71,0,Harold Pressley,Sacramento Kings,,"Apr 10, 1988",GF,79,210,24,1986,1,1987-1988,1988,1.0
72,0,Michael Jordan,Chicago Bulls,,"Apr 3, 1988",SG,78,215,25,1984,3,1987-1988,1988,1.0
73,0,Michael Jordan,Chicago Bulls,,"Mar 27, 1988",SG,78,215,25,1984,3,1987-1988,1988,1.0
74,0,Charles Barkley,Philadelphia Sixers,,"Mar 20, 1988",PF,78,252,25,1984,3,1987-1988,1988,1.0
75,0,Clyde Drexler,Portland Trail Blazers,,"Mar 13, 1988",SG,79,210,25,1983,4,1987-1988,1988,1.0
76,0,Bobby Hansen,Utah Jazz,,"Mar 6, 1988",SG,78,190,27,1983,4,1987-1988,1988,1.0
77,0,Roy Tarpley,Dallas Mavericks,,"Feb 28, 1988",PF,83,230,23,1986,1,1987-1988,1988,1.0
78,0,John Stockton,Utah Jazz,,"Feb 21, 1988",PG,73,170,25,1984,3,1987-1988,1988,1.0
79,0,Dominique Wilkins,Atlanta Hawks,,"Feb 14, 1988",SF,79,200,28,1982,5,1987-1988,1988,1.0
80,0,Bernard King,Washington Bullets,,"Jan 31, 1988",SF,79,205,31,1977,10,1987-1988,1988,1.0
81,0,Michael Jordan,Chicago Bulls,,"Jan 24, 1988",SG,78,215,25,1984,3,1987-1988,1988,1.0
82,0,Dominique Wilkins,Atlanta Hawks,,"Jan 17, 1988",SF,79,200,28,1982,5,1987-1988,1988,1.0
83,0,Byron Scott,Los Angeles Lakers,,"Jan 10, 1988",SG,75,195,26,1983,4,1987-1988,1988,1.0
84,0,Karl Malone,Utah Jazz,,"Jan 3, 1988",PF,81,265,24,1985,2,1987-1988,1988,1.0
85,0,Dominique Wilkins,Atlanta Hawks,,"Dec 27, 1987",SF,79,200,28,1982,5,1987-1988,1988,1.0
86,0,Larry Nance,Phoenix Suns,,"Dec 20, 1987",PF,82,205,29,1981,6,1987-1988,1988,1.0
87,0,Magic Johnson,Los Angeles Lakers,,"Dec 13, 1987",PG,81,255,28,1979,8,1987-1988,1988,1.0
88,0,Clyde Drexler,Portland Trail Blazers,,"Dec 6, 1987",SG,79,210,25,1983,4,1987-1988,1988,1.0
89,0,Clyde Drexler,Portland Trail Blazers,,"Nov 29, 1987",SG,79,210,25,1983,4,1987-1988,1988,1.0
90,0,Xavier McDaniel,Seattle SuperSonics,,"Nov 22, 1987",PF,79,205,24,1985,2,1987-1988,1988,1.0
91,0,Larry Bird,Boston Celtics,,"Nov 15, 1987",SF,81,220,31,1978,8,1987-1988,1988,1.0
92,0,Xavier McDaniel,Seattle SuperSonics,,"Apr 23, 1989",PF,79,205,25,1985,3,1988-1989,1989,1.0
93,0,Karl Malone,Utah Jazz,,"Apr 16, 1989",PF,81,265,25,1985,3,1988-1989,1989,1.0
94,0,Clyde Drexler,Portland Trail Blazers,,"Apr 9, 1989",SG,79,210,26,1983,5,1988-1989,1989,1.0
95,0,Michael Jordan,Chicago Bulls,,"Apr 2, 1989",SG,78,215,26,1984,4,1988-1989,1989,1.0
96,0,Michael Jordan,Chicago Bulls,,"Mar 26, 1989",SG,78,215,26,1984,4,1988-1989,1989,1.0
97,0,Kevin Johnson,Phoenix Suns,,"Mar 19, 1989",PG,73,180,22,1987,1,1988-1989,1989,1.0
98,0,Isiah Thomas,Detroit Pistons,,"Mar 12, 1989",PG,73,180,27,1981,7,1988-1989,1989,1.0
99,0,Chuck Person,Indiana Pacers,,"Mar 5, 1989",SF,80,220,24,1986,2,1988-1989,1989,1.0
100,0,Patrick Ewing,New York Knicks,,"Feb 26, 1989",C,84,240,26,1985,3,1988-1989,1989,1.0
101,0,Hakeem Olajuwon,Houston Rockets,,"Feb 19, 1989",C,84,255,26,1984,4,1988-1989,1989,1.0
102,0,Ron Harper,Cleveland Cavaliers,,"Feb 5, 1989",SG,78,185,25,1986,2,1988-1989,1989,1.0
103,0,Tom Chambers,Phoenix Suns,,"Jan 29, 1989",PF,82,220,29,1981,7,1988-1989,1989,1.0
104,0,Chris Mullin,Golden State Warriors,,"Jan 22, 1989",SF,79,215,25,1985,3,1988-1989,1989,1.0
105,0,Michael Jordan,Chicago Bulls,,"Jan 15, 1989",SG,78,215,26,1984,4,1988-1989,1989,1.0
106,0,Dale Ellis,Seattle SuperSonics,,"Jan 8, 1989",GF,79,205,28,1983,5,1988-1989,1989,1.0
107,0,Magic Johnson,Los Angeles Lakers,,"Jan 1, 1989",PG,81,255,29,1979,9,1988-1989,1989,1.0
108,0,Clyde Drexler,Portland Trail Blazers,,"Dec 25, 1988",SG,79,210,26,1983,5,1988-1989,1989,1.0
109,0,Robert Parish,Boston Celtics,,"Dec 18, 1988",C,84,230,35,1976,11,1988-1989,1989,1.0
110,0,Michael Adams,Denver Nuggets,,"Dec 11, 1988",PG,70,163,26,1985,3,1988-1989,1989,1.0
111,0,Magic Johnson,Los Angeles Lakers,,"Dec 4, 1988",PG,81,255,29,1979,9,1988-1989,1989,1.0
112,0,Patrick Ewing,New York Knicks,,"Nov 27, 1988",C,84,240,26,1985,3,1988-1989,1989,1.0
113,0,Michael Jordan,Chicago Bulls,,"Nov 20, 1988",SG,78,215,26,1984,4,1988-1989,1989,1.0
114,0,Hakeem Olajuwon,Houston Rockets,,"Nov 13, 1988",C,84,255,26,1984,4,1988-1989,1989,1.0
115,0,David Robinson,San Antonio Spurs,,"Apr 22, 1990",C,85,250,24,1987,0,1989-1990,1990,1.0
116,0,Magic Johnson,Los Angeles Lakers,,"Apr 15, 1990",PG,81,255,30,1979,10,1989-1990,1990,1.0
117,0,Charles Barkley,Philadelphia Sixers,,"Apr 8, 1990",PF,78,252,27,1984,5,1989-1990,1990,1.0
118,0,Michael Jordan,Chicago Bulls,,"Apr 1, 1990",SG,78,215,27,1984,5,1989-1990,1990,1.0
119,0,David Robinson,San Antonio Spurs,,"Mar 25, 1990",C,85,250,24,1987,0,1989-1990,1990,1.0
120,0,Kevin Johnson,Phoenix Suns,,"Mar 18, 1990",PG,73,180,23,1987,2,1989-1990,1990,1.0
121,0,Rony Seikaly,Miami Heat,,"Mar 11, 1990",C,83,230,24,1988,1,1989-1990,1990,1.0
122,0,Hakeem Olajuwon,Houston Rockets,,"Mar 4, 1990",C,84,255,27,1984,5,1989-1990,1990,1.0
123,0,David Robinson,San Antonio Spurs,,"Feb 25, 1990",C,85,250,24,1987,0,1989-1990,1990,1.0
124,0,Tom Chambers,Phoenix Suns,,"Feb 18, 1990",PF,82,220,30,1981,8,1989-1990,1990,1.0
125,0,Tim Hardaway,Golden State Warriors,,"Feb 4, 1990",PG,72,175,23,1989,0,1989-1990,1990,1.0
126,0,Karl Malone,Utah Jazz,,"Jan 28, 1990",PF,81,265,26,1985,4,1989-1990,1990,1.0
127,0,Alvin Robertson,Milwaukee Bucks,,"Jan 21, 1990",SG,75,185,27,1984,5,1989-1990,1990,1.0
128,0,Ron Harper,Los Angeles Clippers,,"Jan 14, 1990",SG,78,185,26,1986,3,1989-1990,1990,1.0
129,0,Terry Teagle,Golden State Warriors,,"Jan 7, 1990",SG,77,195,29,1982,7,1989-1990,1990,1.0
130,0,Karl Malone,Utah Jazz,,"Dec 30, 1989",PF,81,265,26,1985,4,1989-1990,1990,1.0
131,0,Terry Cummings,San Antonio Spurs,,"Dec 24, 1989",PF,81,220,28,1982,7,1989-1990,1990,1.0
132,0,Chris Mullin,Golden State Warriors,,"Dec 17, 1989",SF,79,215,26,1985,4,1989-1990,1990,1.0
133,0,Michael Jordan,Chicago Bulls,,"Dec 10, 1989",SG,78,215,27,1984,5,1989-1990,1990,1.0
134,0,Patrick Ewing,New York Knicks,,"Dec 3, 1989",C,84,240,27,1985,4,1989-1990,1990,1.0
135,0,Clyde Drexler,Portland Trail Blazers,,"Nov 26, 1989",SG,79,210,27,1983,6,1989-1990,1990,1.0
136,0,John Stockton,Utah Jazz,,"Nov 19, 1989",PG,73,170,27,1984,5,1989-1990,1990,1.0
137,0,Vern Fleming,Indiana Pacers,,"Nov 12, 1989",G,77,185,28,1984,5,1989-1990,1990,1.0
138,0,Scott Skiles,Orlando Magic,,"Apr 21, 1991",PG,73,180,26,1986,4,1990-1991,1991,1.0
139,0,Clyde Drexler,Portland Trail Blazers,,"Apr 14, 1991",SG,79,210,28,1983,7,1990-1991,1991,1.0
140,0,Magic Johnson,Los Angeles Lakers,,"Apr 7, 1991",PG,81,255,31,1979,11,1990-1991,1991,1.0
141,0,Clyde Drexler,Portland Trail Blazers,,"Mar 31, 1991",SG,79,210,28,1983,7,1990-1991,1991,1.0
142,0,Mitch Richmond,Golden State Warriors,,"Mar 24, 1991",SG,77,215,25,1988,2,1990-1991,1991,1.0
143,0,Kenny Smith,Houston Rockets,,"Mar 17, 1991",PG,75,170,25,1987,3,1990-1991,1991,1.0
144,0,Dennis Scott,Orlando Magic,,"Mar 10, 1991",SF,80,229,22,1990,0,1990-1991,1991,1.0
145,0,Gerald Wilkins,New York Knicks,,"Mar 3, 1991",SG,78,185,27,1985,5,1990-1991,1991,1.0
146,0,Reggie Miller,Indiana Pacers,,"Feb 24, 1991",SG,79,185,25,1987,3,1990-1991,1991,1.0
147,0,Lionel Simmons,Sacramento Kings,,"Feb 17, 1991",SF,79,210,22,1990,0,1990-1991,1991,1.0
148,0,Otis Thorpe,Houston Rockets,,"Feb 3, 1991",PF,81,225,28,1984,6,1990-1991,1991,1.0
149,0,Michael Adams,Denver Nuggets,,"Jan 27, 1991",PG,70,163,28,1985,5,1990-1991,1991,1.0
150,0,Tim Hardaway,Golden State Warriors,,"Jan 20, 1991",PG,72,175,24,1989,1,1990-1991,1991,1.0
151,0,Bernard King,Washington Bullets,,"Jan 13, 1991",SF,79,205,34,1977,13,1990-1991,1991,1.0
152,0,Dominique Wilkins,Atlanta Hawks,,"Jan 6, 1991",SF,79,200,31,1982,8,1990-1991,1991,1.0
153,0,Ricky Pierce,Milwaukee Bucks,,"Dec 30, 1990",SG,76,205,31,1982,8,1990-1991,1991,1.0
154,0,Michael Jordan,Chicago Bulls,,"Dec 23, 1990",SG,78,215,28,1984,6,1990-1991,1991,1.0
155,0,Kevin Johnson,Phoenix Suns,,"Dec 16, 1990",PG,73,180,24,1987,3,1990-1991,1991,1.0
156,0,John Stockton,Utah Jazz,,"Dec 9, 1990",PG,73,170,28,1984,6,1990-1991,1991,1.0
157,0,Michael Jordan,Chicago Bulls,,"Dec 2, 1990",SG,78,215,28,1984,6,1990-1991,1991,1.0
158,0,Charles Barkley,Philadelphia Sixers,,"Nov 25, 1990",PF,78,252,28,1984,6,1990-1991,1991,1.0
159,0,Clyde Drexler,Portland Trail Blazers,,"Nov 18, 1990",SG,79,210,28,1983,7,1990-1991,1991,1.0
160,0,Chris Mullin,Golden State Warriors,,"Nov 11, 1990",SF,79,215,27,1985,5,1990-1991,1991,1.0
161,0,Karl Malone,Utah Jazz,,"Apr 19, 1992",PF,81,265,28,1985,6,1991-1992,1992,1.0
162,0,Reggie Lewis,Boston Celtics,,"Apr 12, 1992",SF,79,195,26,1987,4,1991-1992,1992,1.0
163,0,Mookie Blaylock,New Jersey Nets,,"Apr 5, 1992",PG,73,190,24,1989,2,1991-1992,1992,1.0
164,0,Mark Jackson,New York Knicks,,"Mar 29, 1992",PG,73,180,26,1987,4,1991-1992,1992,1.0
165,0,Larry Johnson,Charlotte Hornets,,"Mar 22, 1992",F,78,250,22,1991,0,1991-1992,1992,1.0
166,0,Joe Dumars,Detroit Pistons,,"Mar 15, 1992",SG,75,190,28,1985,6,1991-1992,1992,1.0
167,0,Karl Malone,Utah Jazz,,"Mar 8, 1992",PF,81,265,28,1985,6,1991-1992,1992,1.0
168,0,Danny Manning,Los Angeles Clippers,,"Mar 1, 1992",F,82,230,25,1988,3,1991-1992,1992,1.0
169,0,Tim Hardaway,Golden State Warriors,,"Feb 23, 1992",PG,72,175,25,1989,2,1991-1992,1992,1.0
170,0,John Stockton,Utah Jazz,,"Feb 16, 1992",PG,73,170,29,1984,7,1991-1992,1992,1.0
171,0,Larry Nance,Cleveland Cavaliers,,"Feb 2, 1992",PF,82,205,33,1981,10,1991-1992,1992,1.0
172,0,Nick Anderson,Orlando Magic,,"Jan 26, 1992",GF,78,228,24,1989,2,1991-1992,1992,1.0
173,0,Tim Hardaway,Golden State Warriors,,"Jan 19, 1992",PG,72,175,25,1989,2,1991-1992,1992,1.0
174,0,Michael Jordan,Chicago Bulls,,"Jan 12, 1992",SG,78,215,29,1984,7,1991-1992,1992,1.0
175,0,Patrick Ewing,New York Knicks,,"Jan 5, 1992",C,84,240,29,1985,6,1991-1992,1992,1.0
176,0,Scottie Pippen,Chicago Bulls,,"Dec 29, 1991",SF,80,228,26,1987,4,1991-1992,1992,1.0
177,0,Pervis Ellison,Washington Bullets,,"Dec 22, 1991",C,81,210,24,1989,2,1991-1992,1992,1.0
178,0,Dennis Rodman,Detroit Pistons,,"Dec 15, 1991",PF,79,210,30,1986,5,1991-1992,1992,1.0
179,0,Jeff Malone,Utah Jazz,,"Dec 8, 1991",SG,76,205,30,1983,8,1991-1992,1992,1.0
180,0,David Robinson,San Antonio Spurs,,"Dec 1, 1991",C,85,250,26,1987,2,1991-1992,1992,1.0
181,0,Kevin Willis,Atlanta Hawks,,"Nov 24, 1991",C,84,245,29,1984,7,1991-1992,1992,1.0
182,0,Brad Daugherty,Cleveland Cavaliers,,"Nov 17, 1991",C,84,245,26,1986,5,1991-1992,1992,1.0
183,0,Chris Mullin,Golden State Warriors,,"Nov 10, 1991",SF,79,215,28,1985,6,1991-1992,1992,1.0
184,0,Larry Johnson,Charlotte Hornets,,"Apr 25, 1993",F,78,250,23,1991,1,1992-1993,1993,1.0
185,0,Alonzo Mourning,Charlotte Hornets,,"Apr 18, 1993",C,82,240,23,1992,0,1992-1993,1993,1.0
186,0,Hakeem Olajuwon,Houston Rockets,,"Apr 11, 1993",C,84,255,30,1984,8,1992-1993,1993,1.0
187,0,Charles Barkley,Phoenix Suns,,"Apr 4, 1993",PF,78,252,30,1984,8,1992-1993,1993,1.0
188,0,Dikembe Mutombo,Denver Nuggets,,"Mar 28, 1993",C,86,260,26,1991,1,1992-1993,1993,1.0
189,0,Patrick Ewing,New York Knicks,,"Mar 21, 1993",C,84,240,30,1985,7,1992-1993,1993,1.0
190,0,Rumeal Robinson,New Jersey Nets,,"Mar 14, 1993",PG,74,195,26,1990,2,1992-1993,1993,1.0
191,0,Rony Seikaly,Miami Heat,,"Mar 7, 1993",C,83,230,27,1988,4,1992-1993,1993,1.0
192,0,Hakeem Olajuwon,Houston Rockets,,"Feb 28, 1993",C,84,255,30,1984,8,1992-1993,1993,1.0
193,0,Larry Johnson,Charlotte Hornets,,"Feb 14, 1993",F,78,250,23,1991,1,1992-1993,1993,1.0
194,0,Nick Anderson,Orlando Magic,,"Feb 7, 1993",GF,78,228,25,1989,3,1992-1993,1993,1.0
195,0,Karl Malone,Utah Jazz,,"Jan 31, 1993",PF,81,265,29,1985,7,1992-1993,1993,1.0
196,0,Patrick Ewing,New York Knicks,,"Jan 24, 1993",C,84,240,30,1985,7,1992-1993,1993,1.0
197,0,Hakeem Olajuwon,Houston Rockets,,"Jan 17, 1993",C,84,255,30,1984,8,1992-1993,1993,1.0
198,0,Shawn Kemp,Seattle SuperSonics,,"Jan 10, 1993",C,82,280,23,1989,3,1992-1993,1993,1.0
199,0,David Robinson,San Antonio Spurs,,"Jan 3, 1993",C,85,250,27,1987,3,1992-1993,1993,1.0
200,0,Sean Elliott,San Antonio Spurs,,"Dec 27, 1992",SF,80,205,25,1989,3,1992-1993,1993,1.0
201,0,Patrick Ewing,New York Knicks,,"Dec 20, 1992",C,84,240,30,1985,7,1992-1993,1993,1.0
